,osurl,ht_link,htid
339,"https://explorer-api.opensyllabus.org/v1/works/8091718643270.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9788817165242.json,mdp.39015054455178
340,"https://explorer-api.opensyllabus.org/v1/works/41283225651411.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780198721932.json,mdp.39015054454106
341,"https://explorer-api.opensyllabus.org/v1/works/51994874085678.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780198721734.json,mdp.39015047448223
342,"https://explorer-api.opensyllabus.org/v1/works/8418136149500.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780198721734.json,mdp.39015047448223
343,"https://explorer-api.opensyllabus.org/v1/works/7507602833439.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0195096592.json,mdp.39015034418908
344,"https://explorer-api.opensyllabus.org/v1/works/7876970277338.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674574373.json,mdp.39015012434810
345,"https://explorer-api.opensyllabus.org/v1/works/7876970277338.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674574373.json,uva.x000599190
346,"https://explorer-api.opensyllabus.org/v1/works/7876970277338.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780674574373.json,uc1.32106013777112
347,"https://explorer-api.opensyllabus.org/v1/works/47141561041366.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780192852472.json,uc1.b4296740
348,"https://explorer-api.opensyllabus.org/v1/works/8942122413205.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0198152892.json,mdp.39015055899382
349,"https://explorer-api.opensyllabus.org/v1/works/39573828666208.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0715621947.json,umn.31951d00963820b
350,"https://explorer-api.opensyllabus.org/v1/works/65584150647178.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/9780752414997.json,mdp.39015053124973
351,"https://explorer-api.opensyllabus.org/v1/works/58445914965118.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0714813281.json,mdp.39015046334085
352,"https://explorer-api.opensyllabus.org/v1/works/58445914965118.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0714813281.json,uc1.32106005424988
353,"https://explorer-api.opensyllabus.org/v1/works/34041910788805.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0714813281.json,mdp.39015046334085
354,"https://explorer-api.opensyllabus.org/v1/works/34041910788805.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0714813281.json,uc1.32106005424988
355,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,mdp.49015000511494
356,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,inu.32000000983496
357,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,inu.30000039211465
358,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,inu.30000007204500
359,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uva.x002281136
360,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,chi.13799472
361,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822027355593
362,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.32106017211316
363,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,coo.31924008539011
364,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,hvd.32044029850872
365,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31175009772768
366,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822008416729
367,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822006926414
368,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822002020238
369,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.390300038537040
370,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,coo.31924008539029
371,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.32106013965774
372,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.32106005386880
373,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.32106006203746
374,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.l0078862562
375,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,coo.31924008539037
376,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822030527006
377,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.390300038537120
378,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.39030000146599
379,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.390300038537200
380,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.39030027189770
381,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,iau.31858002195018
382,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.32106005387003
383,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822002020295
384,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822023181787
385,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,coo.31924008539052
386,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.39030006514006
387,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.32106005387128
388,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.39030014552691
389,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.39030006635090
390,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822017113358
391,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822002020352
392,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822006002414
393,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,uc1.31822023202591
394,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.390300038537380
395,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,iau.31858002195034
396,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,coo.31924008539078
397,"https://explorer-api.opensyllabus.org/v1/works/8229157844153.json
",https://catalog.hathitrust.org/api/volumes/full/isbn/0674992571.json,rul.390300038537460
