,osurl,subject
226,"https://explorer-api.opensyllabus.org/v1/works/8753143856708.json
","Architecture, Roman"
227,"https://explorer-api.opensyllabus.org/v1/works/8753143856708.json
",Architecture
228,"https://explorer-api.opensyllabus.org/v1/works/8186208177070.json
",Greek drama (Tragedy)
229,"https://explorer-api.opensyllabus.org/v1/works/8186208177070.json
",Theater
230,"https://explorer-api.opensyllabus.org/v1/works/48876727830052.json
",Politics and culture
231,"https://explorer-api.opensyllabus.org/v1/works/48876727830052.json
",City planning
232,"https://explorer-api.opensyllabus.org/v1/works/48876727830052.json
",Cities and towns
233,"https://explorer-api.opensyllabus.org/v1/works/48876727830052.json
",Pompeii (Extinct city)
234,"https://explorer-api.opensyllabus.org/v1/works/48876727830052.json
",Pompeii (Extinct city)
235,"https://explorer-api.opensyllabus.org/v1/works/51702816312161.json
",Greece
236,"https://explorer-api.opensyllabus.org/v1/works/51702816312161.json
",Athens (Greece)
237,"https://explorer-api.opensyllabus.org/v1/works/7507602833451.json
",Greek drama (Comedy)
238,"https://explorer-api.opensyllabus.org/v1/works/49855980372717.json
",Aristophanes
239,"https://explorer-api.opensyllabus.org/v1/works/49855980372717.json
",Comedy
240,"https://explorer-api.opensyllabus.org/v1/works/47141561041389.json
",Aristophanes
241,"https://explorer-api.opensyllabus.org/v1/works/47141561041389.json
",Comedy.
242,"https://explorer-api.opensyllabus.org/v1/works/47141561041389.json
",Intertextuality.
243,"https://explorer-api.opensyllabus.org/v1/works/47141561041389.json
",Drama
244,"https://explorer-api.opensyllabus.org/v1/works/47141561041389.json
",Social problems in literature.
245,"https://explorer-api.opensyllabus.org/v1/works/47141561041389.json
",Literature and society
246,"https://explorer-api.opensyllabus.org/v1/works/47141561041389.json
",Athens (Greece)
247,"https://explorer-api.opensyllabus.org/v1/works/7507602833975.json
",Philosophy.
248,"https://explorer-api.opensyllabus.org/v1/works/55542517072484.json
",Greek drama
249,"https://explorer-api.opensyllabus.org/v1/works/55542517072484.json
",Theater
250,"https://explorer-api.opensyllabus.org/v1/works/7808250713126.json
",Homer.
251,"https://explorer-api.opensyllabus.org/v1/works/7808250713126.json
",Odysseus (Greek mythology) in literature.
252,"https://explorer-api.opensyllabus.org/v1/works/51805895526736.json
",Art patronage
253,"https://explorer-api.opensyllabus.org/v1/works/51805895526736.json
","Art, Roman."
254,"https://explorer-api.opensyllabus.org/v1/works/53369263620136.json
",Homer.
255,"https://explorer-api.opensyllabus.org/v1/works/53369263620136.json
",Trojan War in literature.
256,"https://explorer-api.opensyllabus.org/v1/works/53369263620136.json
",Achilles (Greek mythology) in literature.
257,"https://explorer-api.opensyllabus.org/v1/works/8005819207382.json
",Poetics.
258,"https://explorer-api.opensyllabus.org/v1/works/8005819207382.json
",Poets in literature.
259,"https://explorer-api.opensyllabus.org/v1/works/8005819207382.json
",Poetry in literature.
260,"https://explorer-api.opensyllabus.org/v1/works/8005819207382.json
",Greek literature
261,"https://explorer-api.opensyllabus.org/v1/works/45681272163282.json
","Civilization, Classical"
262,"https://explorer-api.opensyllabus.org/v1/works/61357902814238.json
","Catiline,"
263,"https://explorer-api.opensyllabus.org/v1/works/61357902814238.json
",Rome
264,"https://explorer-api.opensyllabus.org/v1/works/9113920769122.json
",Sex and law
265,"https://explorer-api.opensyllabus.org/v1/works/9113920769122.json
",Sexual ethics
266,"https://explorer-api.opensyllabus.org/v1/works/8031589088352.json
",Aristophanes
267,"https://explorer-api.opensyllabus.org/v1/works/8031589088352.json
",Comedy.
268,"https://explorer-api.opensyllabus.org/v1/works/8031589088352.json
",Greek drama (Comedy)
